about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"Polished in manner and dealings. Multifaceted skills at work as well as in the art of living. Have 2 sons, one married and on his own &amp; the other ripe for marriage and still with me yet.","Slim and active good nature woman. Someone who is a positive, fun filled and believe in leading a fulfilling life ahead.",,37 to 70,29 Jul 1951,06:45:00,India,Solapur,Average,,1 brother ,Catholic,Catholic,,,Whetish Medium ,,Self,BE B.Tech (Engineering),"62 yrs, 5ft 6in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						Konkani ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Pune,
					 India",No,No,Non Vegetarian,Non Vegetarian,Doesn't Matter,Private Sector,Doesn't Matter,Nuclear,Nuclear,Passed,Production/ Industrial,,Yes,5ft 6in,4ft 8in to 5ft 6in,,INR 4 lakhs to 5 lakhs,Doesn't Matter,"
						10 Nov 2013",No,No,,Widowed,Widowed,Passed,Konkani,Konkani,,Manufacturing/ Engineering/ R&D;,SMM1739912,,Christian,Christian,3 sisters ,No,No,None,,Middle Class,Doesn't Matter,Christian - Latin Catholic,,Liberal,Liberal,77 Kgs,
"Intelligent, artistic, creative, soft, polite nature, loving and caring. I play many musical instruments and present music concerts in Indian classical and light music. I love drawing, painting, designing. Arts and crafts, Graphic designing, web designing. animation story writing, music composing, listening music. Love children and teaching to them many activities. Worked in Public schools,Science &amp; technology, Teaching and training, Computer multimedia, Fine arts and Music fields for more than 30 years. Having interest and created many  presentations and Space Science &amp; Astronomy related projects for NASA in USA.","Soft spoken, intelligent, artistic, creative, loving and caring, positive thinking person. ",,30 to 50,08 Sep 1960,,India,Coimbatore,Average,Doesn't Matter,0 brothers ,Brahmin,,"Noida,Chandigarh,Gurgaon,Faridabad,Greater Noida,Ghaziabad,Mohali,Delhi",,Fair ,Doesn't Matter,Self,Ph.D. (Doctorate),"53 yrs, 5ft 4in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							Ph.D. (Doctorate), 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Patiala,
					 India",No,No,Vegetarian With Eggs,Doesn't Matter,"Master of Fashion Technology,M.Sc. (Science),B.Arch (Architecture),B.Ed (Education),B.El.Ed (Elementary Education),Bachelor of Fashion Technology,BCA (Computer Application),BFA (Fine Arts),B.A. (Arts),B.Com (Commerce),B.Sc (Science),Arts/ Graphic Designing,Engineering,Fashion/ Design,Languages,Other Diploma,12th",Private Sector,Doesn't Matter,Others,Doesn't Matter,Passed,Computer Science,,No,5ft 4in,4ft 8in to 5ft 3in,No,INR Don't wish to specify,Doesn't Matter,"
						06 Nov 2013",No,No,Anshik,Widowed,Widowed,Passed,Tamil,Doesn't Matter,Pushya/ Poosam/ Pooyam,Education/ Training,SMM1743248,Virgo,Hindu,,0 sisters ,No,No,None,None,Middle Class,Doesn't Matter,Sri Vysaraja,,Liberal,Doesn't Matter,60 Kgs,45 to 70 [Kgs]
Widower. Retired from Army as Col last year. Only child married and settled. Cosmopolitan in outlook.,"Independent, erudite, at least a postgraduate. Must be fluent in English and hope that she should wiling to accept my idiosyncrasies.",My daughter and me are the only members left in the family. She has been married for the last two years.,50 to 55,03 Sep 1958,23:30:00,India,Delhi,Average,Doesn't Matter,0 brothers ,Kayastha,,,"Jawahar Lal Nehru University (JNU), Delhi",Whetish Medium ,Doesn't Matter,Self,MBA/PGDM,"55 yrs, 5ft 7in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Others, <br />
					 
					
					Pune,
					 India",Occasionally,Doesn't Matter,Non Vegetarian,Doesn't Matter,Doesn't Matter,Others,Doesn't Matter,Nuclear,Nuclear,Passed,HR/ Industrial Relations,,Yes,5ft 7in,5ft to 5ft 7in,,INR Don't wish to specify,Doesn't Matter,"
						10 Nov 2013",No,No,No,Widowed,Doesn't Matter,Passed,Bengali,"Punjabi,Bengali,Gujarati,English,Nepali",,Others,SMM1735015,Virgo,Hindu,Hindu,0 sisters ,Moderate,Doesn't Matter,None,None,Upper Middle Class,Upper Middle Class,Ghosh,,Moderate,Moderate,80 Kgs,55 to 70 [Kgs]
"I would describe myself as an energetic, fun-loving, outgoing and friendly individual. I have a good sense of humor (I laugh at anything), I'm sensitive yet strong, affectionate, caring and kind.  I strive to understand other people's points of view and it's important for me to take time to 'smell the roses'. l am a shy person by nature but tries to be outgoing. I take great pleasure in knowing someone. I strive to be a good friend and companion and to be respectful of all opinions different from my own. I view myself as well adjusted. I love the ocean, swimming, travel, theater, movies, museums, literature, adventure and long walks. I do enjoy quiet times and occasional solitude. Full of life, humorous, intelligent and romantic. I am affectionate both physically and emotionally. I enjoy a good joke. I am able to express myself in unique ways. I am a hard working person in search for love and respect. I love walks in the beach, a nice dinner with candle lights, listen to music, and read a good book. I have a wide variety of interests, you'll find me anywhere from a poker game with friends to checking out a museum. I've traveled and lived overseas. When its warm, I love boating or going for a hike, and checking out museums anything really. I'm laid back, and I can hold a conversation on pretty much any topic, and if I don't know anything about it, Well  you just have to teach me because i love learning about new things, people and places.",,,49 to 54,23 Oct 1958,,France,,,,0 brothers ,Catholic,Catholic,,,Very Fair ,,Self,M.Sc. (Science),"55 yrs, 5ft 11in,<br />
					
					
													
						Catholic,
					
					
													
						Others, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Oil &amp; Gas, <br />
					 
					
					Claymont,
					 United States of America",Occasionally,,Non Vegetarian,,,Private Sector,,,,Passed,Geology,,Yes,5ft 11in,5ft 2in to 5ft 11in,,US$ $150k to 200k,,"
						08 Nov 2013",No,No,,Widowed,Doesn't Matter,Retired,English,"Hindi,English",,Oil &amp; Gas,SMM1735786,,Others,Christian,1 sister ,No,,None,,High Class,,Christian - Born Again,,,,,
Awaiting for good heart and affectionate person up to my life time.,,,52 to 57,07 Apr 1956,,,,Average,,0 brothers ,,,,,Fair ,,Self,B.A. (Arts),"57 yrs, 5ft 6in,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Telecom/ ISP, <br />
					 
					
					Chennai,
					 India",Occasionally,,Non Vegetarian,,,Private Sector,,,,,Other BA,,Yes,5ft 6in,4ft 8in to 5ft 6in,,INR 4 lakhs to 5 lakhs,,"
						29 Oct 2013",,Do Not Know,Do Not Know,Annulled,Doesn't Matter,,Tamil,"Malayalam,Tamil",,Telecom/ ISP,SMM1745244,,Hindu,Hindu,0 sisters ,No,,None,,,,,,,,,
"I can be referred as a mixed race, Portuguese-Swedish by birth. I have my Boy who's still a teenager (14 yrs old) whom i love very much. I am confident, very humble man who understand that there is a time to give, love and understand.","A woman who makes an effort to look her best, appreciates her man's job, passion, a woman whose ego isn't bigger than her hairstyle, a partner for my life, a partner for my soul and someone who is caring. ","I was born in Linkoping, Sweden. My ancestor's migrated from Ireland and Scotland to the United States. They were descendants of Scottish and English tenant farmers who had been settled in Ireland by the British government during the 17th-century Plantation of Ulster.",48 to 58,05 Jul 1959,,,,Slim,Doesn't Matter,0 brothers ,Others,,,,Fair ,Doesn't Matter,Self,ME/M.Tech/MS (Engg/Sciences),"54 yrs, 5ft 11in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							ME/M.Tech/MS (Engg/Sciences), 				
					
						  	
					
					Construction, <br />
					 
					
					Houston,
					 United States of America",Occasionally,Doesn't Matter,Non Vegetarian,Doesn't Matter,Doesn't Matter,Private Sector,Doesn't Matter,Others,,Passed,Environmental,,Yes,5ft 11in,5ft 2in to 5ft 11in,,US$ $100k to 125k,Doesn't Matter,"
						10 Nov 2013",No,No,,Widowed,Doesn't Matter,Retired,English,Doesn't Matter,,Construction,SMM1731568,,Christian,Christian,1 sister ,No,Doesn't Matter,None,None,Middle Class,,Christian - Others,,Modern,,44 to 140 [Kgs],
"Am fun loving person with clean characters, loving and caring nature.",,,48 to 52,04 Jun 1955,,India,,Average,,1 brother ,Protestant,Protestant,,"Madurai Kamaraj University, Tamil Nadu",Fair ,,Self,B.A. (Arts),"58 yrs, 5ft 8in,<br />
					
					
													
						Protestant,
					
					
													
						Christian, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					Palakkad,
					 India",No,,Non Vegetarian,,,Private Sector,,Nuclear,,Passed,Economics,,Yes,5ft 8in,4ft 11in to 5ft 8in,,INR 2 lakhs to 3 lakhs,,"
						11 Nov 2013",No,No,,Widowed,Divorced,Passed,Tamil,"Malayalam,Tamil",,Management / Corporate Professionals,SMM1732288,,Christian,Christian,5 sisters ,No,,None,,Upper Middle Class,,Christian - Church of South India,,Moderate,,72 Kgs,
"I am loving, caring, adjusting, jovial, mixing and humorous.",,"Only son has completed education, employed and stays with his mother. ",47 to 52,05 Sep 1961,16:00:00,India,Hyderabad,Athletic,,2 brothers ,Brahmin,Brahmin,,,Wheatish ,,Self,B.Com (Commerce),"52 yrs, 5ft 8in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Marketing and Communications, <br />
					 
					
					Hyderabad,
					 India",No,,Vegetarian,,,Others,,Nuclear,,Passed,Commerce Pass,,Yes,5ft 8in,4ft 11in to 5ft 8in,,INR 1 lakh to 2 lakhs,,"
						08 Nov 2013",,No,No,Divorced,Doesn't Matter,Passed,Telugu,Telugu,Uttarashada/ Uthradam,Marketing and Communications,SMM1733795,Virgo,Hindu,Hindu,0 sisters ,No,,None,,Middle Class,,,,Moderate,,85 Kgs,
"Looking for a life partner who will be loving, faithful, caring and above all loyal. at present working as senior manager for a private company franchisee for maruti suzuki.",,,53 to 58,13 Sep 1955,,,,Athletic,,,Others,Others,,,Whetish Medium ,,Self,Integrated PG,"58 yrs, 5ft 9in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							Integrated PG, 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					Pune,
					 India",No,,Non Vegetarian,,,Private Sector,,,,,Language- English,,No,5ft 9in,5ft to 5ft 9in,,INR 4 lakhs to 5 lakhs,,"
						09 Nov 2013",,No,,Annulled,Doesn't Matter,,English,"Hindi,English",,Management / Corporate Professionals,SMM1730147,,Christian,Christian,,No,,None,,,,Christian - Jacobite,,,,84 Kgs,
"After my B.Sc, took my B.Tech (Hons) from IIT Kharagpur. Worked for more than 35 years in India and abroad in various management levels, I work only as an Industrial and Management Consultant as needed. My children are all grown up and settled abroad with their own business and profession. My wife passed away about 2 years back. I am staying at a place for Senior Citizens at Trivandrum in a fully furnished suite where day-to-day needs are looked after. I am looking for an understanding and caring companion.","Caring and Understanding Lady preferably a post graduate and a professional. Financially well off and healthy. Who enjoy Sports, Travel and Out door activities including social and religious work. I am interested in relocating myself to the partners place if needed. I am looking for a companion to spend the rest of our life together enjoying everyday life. ","Two of my sisters are professionals and settled in US. Elder sister is a medical doctor and other two sisters are housewives. My elder son, an engineer is a permanent resident in Namibia having his own business. Second son is a Dentist, citizen of Australia running a chain of Dental clinics. Third one, a daughter is a Dentist, US Citizen staying in New Jersey.
",55 to 65,04 Jun 1938,,India,Rest of Kerala,Athletic,Average,0 brothers ,Protestant,Protestant,"Pennsylvania,New Jersey,New York,Thiruvananthapuram ",IIT Kharagpur,Whetish Medium ,Doesn't Matter,Friend,BE B.Tech (Engineering),"75 yrs, 5ft 5in,<br />
					
					
													
						Protestant,
					
					
													
						Christian, 
						
					
						
						Malayalam ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					Thiruvananthapuram ,
					 India",Occasionally,Occasionally,Non Vegetarian,Doesn't Matter,"CA (Chartered Accountant),ICWA,M.Ed. (Education),Master of Hospital Administration,ME/M.Tech/MS (Engg/Sciences),M.Sc. (Science),BE B.Tech (Engineering),BDS (Dental Surgery),MD/ MS (Medicine)",Others,Others,Joint family both parents,Joint family both parents,Passed,Metallurgy/ Material Technology,,Yes,5ft 5in,4ft 7in to 5ft 5in,,INR Under 50 thousand,3 lakhs to 4 lakhs,"
						11 Nov 2013",,No,,Widowed,Doesn't Matter,Passed,Malayalam,"Malayalam,English",,"Education/ Training,Finance and Accounts,Government Employee,Health Care",SMM1729086,,Christian,Christian,5 sisters ,No,No,None,None,Middle Class,Middle Class,"Christian - Jacobite,Christian - Marthoma,Christian - Syrian Orthodox",,Moderate,Moderate,70 Kgs,55 to 65 [Kgs]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMM1731495,,,,,,,,,,,,,,,,
I am a single gentleman with great qualities.I am a down to earth kind of guy. I am honest loyal understanding and a hard working type of guy. I have a very interesting job and I live alone with my kids and pet. I enjoy the simple things in life. I enjoy the out doors as well as being inside. I like fishing kayaking writing poetry meeting new people and place.,,,47 to 52,19 Nov 1960,,India,Mumbai,Average,,0 brothers ,Catholic,Catholic,,,Fair ,,Self,ME/M.Tech/MS (Engg/Sciences),"52 yrs, 6ft 2in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							ME/M.Tech/MS (Engg/Sciences), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Beverly Hills,
					 United States of America",Occasionally,,Non Vegetarian,,,Public Sector,,Nuclear,,Retired,Mechanical,,Yes,6ft 2in,5ft 5in to 6ft 2in,,POUND &pound;100k and above,,"
						11 Nov 2013",No,No,,Widowed,Doesn't Matter,Passed,English,"Hindi,English",,Manufacturing/ Engineering/ R&D;,SMM1727994,,Christian,Christian,0 sisters ,No,,None,,Upper Middle Class,,Christian - Born Again,,Moderate,,,
I am looking for a life partner.,,,50 to 55,27 Feb 1958,,,,Athletic,,,Aryasamaj,Aryasamaj,,,Fair ,,Self,MFA (Fine Arts),"55 yrs, 5ft 9in,<br />
					
					
													
						Aryasamaj,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MFA (Fine Arts), 				
					
						  	
					
					Civil Services / Law Enforcement, <br />
					 
					
					Mauritius",No,,Non Vegetarian,,,Central Government,,,,,Fine Arts,,Yes,5ft 9in,5ft to 5ft 9in,,US$ Don't wish to specify,,"
						03 Nov 2013",,Do Not Know,Do Not Know,Divorced,Doesn't Matter,,Hindi,Hindi,,Civil Services / Law Enforcement,SMM1733800,,Hindu,Hindu,,No,,None,,,,,,,,,
I am a nice guy and a gentleman. I care about people feeling and fun to be around king of a person.,,,45 to 50,15 Oct 1962,,,,Average,,,Catholic,Catholic,,,Fair ,,Self,Engineering,"51 yrs, 5ft 10in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						Marwari ,<br />
																							
					
					
					
				
					
							Engineering, 				
					
						  	
					
					Construction, <br />
					 
					
					Mumbai,
					 India",Occasionally,,Non Vegetarian,,,Private Sector,,,,,Civil,,Yes,5ft 10in,5ft 1in to 5ft 10in,,US$ $150k to 200k,,"
						22 Oct 2013",,No,,Widowed,Doesn't Matter,,Marwari,"Hindi,Marwari",,Construction,SMM1739869,,Christian,Christian,,Moderate,,None,,,,Christian - Pentacost,,,,,
"I am a self made man who is soft, emotional, loving, caring sort of person who always believes in togetherness. I am known for my sense of humor by all and my independence. I am currently working for a IT Software Company in Bangalore as General Manager - Admin.",,,45 to 55,18 Mar 1952,,,,Heavy,,,Protestant,,,,Wheatish ,,Self,BE B.Tech (Engineering),"61 yrs, 5ft 7in,<br />
					
					
													
						Protestant,
					
					
													
						Christian, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					Bangalore,
					 India",Occasionally,,Non Vegetarian,,,Private Sector,,,,,,,Yes,5ft 7in,5ft to 5ft 10in,,INR 7 lakhs to 10 lakhs,,"
						12 Nov 2013",,,,Divorced,Doesn't Matter,,Tamil,Doesn't Matter,,Management / Corporate Professionals,SMM1723284,,Christian,Christian,,No,,None,,,,Christian - Church of South India,,,,,
"I am simple person, just retired from the post of district education officer and well settled.",,My family is simple and brother are well settled as well as living separately.,53 to 58,01 Nov 1954,,India,,Average,,2 brothers ,Maratha,Maratha,,,Fair ,,Self,M.Sc. (Science),"59 yrs, 5ft 4in,<br />
					
					
													
						Maratha,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Jalgaon,
					 India",No,,Vegetarian,,,State Government,,Nuclear,,Passed,Chemistry,Vassista,Yes,5ft 4in,4ft 6in to 5ft 4in,No,INR 3 lakhs to 4 lakhs,,"
						05 Nov 2013",No,No,No,Widowed,Doesn't Matter,Passed,Marathi,"Hindi,Marathi",Chitra/ Chitha,Admin/Secretarial,SMM1725708,Libra,Hindu,Hindu,1 sister ,No,,None,,Middle Class,,Patil,,Liberal,,,
